ip;asn;holder
193.239.21.22;3303;SWISSCOM - Swisscom (Schweiz) AG
193.25.0.3;59686;GEMINI-PL - Gemini Internet Sp. z o.o.
193.29.206.206;200070;CZNIC-AS2 - CZ.NIC, z.s.p.o.
193.29.206.206;25192;CZNIC-AS - CZ.NIC, z.s.p.o.
193.41.60.1;15895;KSNET-AS - "Kyivstar" PJSC
193.41.60.2;15895;KSNET-AS - "Kyivstar" PJSC
193.68.138.10;3245;DIGSYS-AS - Digital Systems Ltd
193.92.150.2;1241;FORTHNET-GR - Forthnet
193.92.3.11;1241;FORTHNET-GR - Forthnet
194.109.6.66;3265;XS4ALL-NL - Xs4all Internet BV
194.151.228.18;1136;KPN - KPN B.V.
194.151.228.34;1136;KPN - KPN B.V.
194.158.122.10;5410;BOUYGTEL-ISP - Bouygues Telecom SA
194.158.122.15;5410;BOUYGTEL-ISP - Bouygues Telecom SA
194.168.4.100;5089;NTL - Virgin Media Limited
194.168.8.100;5089;NTL - Virgin Media Limited
194.204.152.34;5617;TPNET - Orange Polska Spolka Akcyjna
194.204.159.1;5617;TPNET - Orange Polska Spolka Akcyjna
194.228.41.113;5610;O2-CZECH-REPUBLIC - O2 Czech Republic, a.s.
194.228.41.65;5610;O2-CZECH-REPUBLIC - O2 Czech Republic, a.s.
194.239.134.83;3292;TDC - TDC A/S
194.25.0.60;3320;DTAG - Deutsche Telekom AG
194.25.0.68;3320;DTAG - Deutsche Telekom AG
195.121.1.34;8737;PT - KPN B.V.
195.121.1.66;8737;PT - KPN B.V.
195.130.130.1;6848;TELENET-AS - Telenet BVBA
195.130.130.3;6848;TELENET-AS - Telenet BVBA
195.130.130.4;6848;TELENET-AS - Telenet BVBA
195.130.130.5;6848;TELENET-AS - Telenet BVBA
195.130.131.1;6848;TELENET-AS - Telenet BVBA
195.130.131.3;6848;TELENET-AS - Telenet BVBA
195.130.131.4;6848;TELENET-AS - Telenet BVBA
195.140.195.21;29432;TREX-AS - TREX Regional Exchanges Oy
195.140.195.22;29432;TREX-AS - TREX Regional Exchanges Oy
195.146.128.62;6855;SK-TELEKOM - Slovak Telecom, a. s.
195.170.0.1;6799;OTENET-GR - Ote SA (Hellenic Telecommunications Organisation)
195.170.0.2;6799;OTENET-GR - Ote SA (Hellenic Telecommunications Organisation)
195.170.2.2;6799;OTENET-GR - Ote SA (Hellenic Telecommunications Organisation)
195.197.54.100;719;ELISA-AS - Elisa Oyj
195.28.64.119;8778;SLOVANET - Slovanet a.s.
195.34.133.21;6830;LIBERTYGLOBAL - Liberty Global B.V.
195.58.161.123;6830;LIBERTYGLOBAL - Liberty Global B.V.
195.8.69.12;8426;CLARANET-AS - Claranet Limited
195.8.69.7;8426;CLARANET-AS - Claranet Limited
199.168.90.119;54054;DETEQUE
199.21.87.140;19165;WEBPASS
199.21.87.141;19165;WEBPASS
200.105.128.40;26210;AXS Bolivia S. A.
200.105.128.41;26210;AXS Bolivia S. A.
200.115.192.28;27747;Telecentro S.A.
200.115.192.29;27747;Telecentro S.A.
200.115.192.89;27747;Telecentro S.A.
200.115.192.90;27747;Telecentro S.A.
200.28.4.129;7418;TELEFONICA CHILE S.A.
200.28.4.130;7418;TELEFONICA CHILE S.A.
200.30.192.14;22047;VTR BANDA ANCHA S.A.
200.30.192.15;22047;VTR BANDA ANCHA S.A.
200.72.1.11;6471;ENTEL CHILE S.A.
200.72.1.5;6471;ENTEL CHILE S.A.
200.73.96.146;27882;Telefonica Celular de Bolivia S.A.
200.83.1.5;22047;VTR BANDA ANCHA S.A.
200.87.100.10;6568;Entel S.A. - EntelNet
200.87.100.40;6568;Entel S.A. - EntelNet
2001:1418:10:2::2;12779;ITGATE - IT.Gate S.p.A.
2001:1438:2:3::8;8881;VERSATEL - 1&1 Versatel Deutschland GmbH
2001:1438:2:4::8;8881;VERSATEL - 1&1 Versatel Deutschland GmbH
2001:1488:800:400::130;25192;CZNIC-AS - CZ.NIC, z.s.p.o.
2001:148f:ffff::1;20701;CZNIC-AS3 - CZ.NIC, z.s.p.o.
2001:14b8:1000::1;16086;DNA - DNA Oyj
2001:14b8:1000::2;16086;DNA - DNA Oyj
2001:14ba:a0af:b000::1;16086;DNA - DNA Oyj
2001:15c0:2110:2800::2;21283;A1SI-AS - A1 Slovenija telekomunikacijske storitve,d.d.
2001:1620:2777:1::10;13030;INIT7 - Init7 (Switzerland) Ltd.
2001:1620:2777:2::20;13030;INIT7 - Init7 (Switzerland) Ltd.
2001:1620:699::1;13030;INIT7 - Init7 (Switzerland) Ltd.
2001:1620:f0e::77;13030;INIT7 - Init7 (Switzerland) Ltd.
2001:1680:1:1::10;9044;SOLNET - BSE Software GmbH
2001:1ae9:277:f200::1;13036;TMOBILE-CZ - T-Mobile Czech Republic a.s.
2001:2003:f0b0:4400::53:0;1759;TSF-IP-CORE - Telia Finland Oyj
2001:2003:f0b0:4400::53:314;1759;TSF-IP-CORE - Telia Finland Oyj
2001:2c0:11::c01;2514;INFOSPHERE NTT PC Communications
2001:41d0:1:e2b8::1;16276;OVH - OVH SAS
2001:41d0:3:163::1;16276;OVH - OVH SAS
2001:41d0:fc0f:7100:9830:1193:b972:6df0;35540;OVH-TELECOM - OVH SAS
2001:428::1;3910;CENTURYLINK-EUROPE-LEGACY-QWEST
2001:428::1;209;CENTURYLINK-US-LEGACY-QWEST
2001:428::1;3908;CENTURYLINK-ASIA-LEGACY-QWEST
2001:428::2;3910;CENTURYLINK-EUROPE-LEGACY-QWEST
2001:428::2;209;CENTURYLINK-US-LEGACY-QWEST
2001:428::2;3908;CENTURYLINK-ASIA-LEGACY-QWEST
2001:44b8:31b4:9e99:208:a2ff:fe0b:d023;4739;INTERNODE-AS Internode Pty Ltd
2001:4600:4:1fff::253;2119;TELENOR-NEXTEL - Telenor Norge AS
2001:4600:4:fff::253;2119;TELENOR-NEXTEL - Telenor Norge AS
2001:4640:a14f:1::1;2119;TELENOR-NEXTEL - Telenor Norge AS
2001:4641:9e9:300::3;2119;TELENOR-NEXTEL - Telenor Norge AS
2001:4661:6f8d:c:208:a2ff:fe0d:48f2;2119;TELENOR-NEXTEL - Telenor Norge AS
2001:4665:df78::1;2119;TELENOR-NEXTEL - Telenor Norge AS
2001:470:1d23:1::cb;6939;HURRICANE
2001:470:1d:621::1;6939;HURRICANE
2001:470:1d:7f1:225:90ff:fee3:5668;6939;HURRICANE
2001:470:1d:7f1:3eec:efff:fe03:87c6;6939;HURRICANE
2001:470:1d:996::1;6939;HURRICANE
2001:470:1f09:355::1;6939;HURRICANE
2001:470:1f13:362::;6939;HURRICANE
2001:470:1f14:1064::2;6939;HURRICANE
2001:470:1f15:1084::;6939;HURRICANE
2001:470:1f15:55f::1;6939;HURRICANE
2001:470:1f15:6c9::50;6939;HURRICANE
2001:470:1f1b:e0::1;6939;HURRICANE
2001:470:20::2;6939;HURRICANE
2001:470:28:87::1;6939;HURRICANE
2001:470:5296::102;6939;HURRICANE
2001:470:588b:1::1;6939;HURRICANE
2001:470:593b:100::6;6939;HURRICANE
2001:470:6005::1;6939;HURRICANE
2001:470:6376::1;6939;HURRICANE
2001:470:6389::1;6939;HURRICANE
2001:470:64df:111::1;6939;HURRICANE
2001:470:65c0:5::1;6939;HURRICANE
2001:470:6a9a:6::1;6939;HURRICANE
2001:470:74d7:10::1;6939;HURRICANE
2001:470:7855:b253::1;6939;HURRICANE
2001:470:7b6f:4::1;6939;HURRICANE
2001:470:7f19:200::;6939;HURRICANE
2001:470:8:619::1;6939;HURRICANE
2001:470:8:ca5::1;6939;HURRICANE
