ip;asn;holder
142.254.130.77;11427;TWC-11427-TEXAS
24.28.88.17;11427;TWC-11427-TEXAS
24.175.49.233;11427;TWC-11427-TEXAS
24.175.36.224;11427;TWC-11427-TEXAS
24.175.49.0;11427;TWC-11427-TEXAS
66.109.1.216;7843;TWC-7843-BB
209.18.43.77;7843;TWC-7843-BB
24.30.200.61;7843;TWC-7843-BB
96.120.101.157;7922;COMCAST-7922
96.110.249.173;7922;COMCAST-7922
69.139.160.26;7922;COMCAST-7922
69.139.164.77;7922;COMCAST-7922
68.86.93.165;7922;COMCAST-7922
68.86.86.90;7922;COMCAST-7922
96.87.8.166;7922;COMCAST-7922
192.168.13.254;-1;NO HOLDER
23.28.64.1;12083;WOW-INTERNET
10.52.148.96;-1;NO HOLDER
76.73.165.202;12083;WOW-INTERNET
23.28.210.80;12083;WOW-INTERNET
75.76.35.51;12083;WOW-INTERNET
76.73.191.230;12083;WOW-INTERNET
208.115.136.180;-1;NO HOLDER
192.168.100.1;-1;NO HOLDER
50.46.181.18;27017;ZIPLY-FIBER-LEGACY-ASN
64.52.96.4;20055;AS-WHOLESAIL
137.83.80.22;20055;AS-WHOLESAIL
137.83.80.20;20055;AS-WHOLESAIL
137.83.80.4;20055;AS-WHOLESAIL
137.83.80.6;20055;AS-WHOLESAIL
107.191.236.126;20055;AS-WHOLESAIL
206.81.81.10;-1;NO HOLDER
96.120.22.1;7922;COMCAST-7922
96.110.220.197;7922;COMCAST-7922
68.85.212.193;7922;COMCAST-7922
68.85.212.102;7922;COMCAST-7922
68.86.94.89;7922;COMCAST-7922
68.86.82.70;7922;COMCAST-7922
50.208.232.58;7922;COMCAST-7922
192.168.1.254;-1;NO HOLDER
10.145.154.1;-1;NO HOLDER
154.11.10.152;852;ASN852
206.126.225.41;-1;NO HOLDER
192.168.3.1;-1;NO HOLDER
10.239.0.1;-1;NO HOLDER
10.16.0.1;-1;NO HOLDER
204.111.0.145;4922;SHENTEL
206.126.237.30;-1;NO HOLDER
172.31.254.193;-1;NO HOLDER
